Parts List with XY on brd
i	Name	Package	Value	(X Y) [mil]	Angle	Layer	Height
[00]	C1	C0603	1u	( 461.024 1617.717)	  270.00	 1	*
[01]	C2	C0805	100n	( 598.425 1700.787)	   90.00	 1	*
[02]	C7	C0603	1u	( 709.055 1543.307)	  270.00	 1	*
[03]	CADDBUF	C0603	100n	(1401.181 1501.181)	    0.00	 1	*
[04]	CBUF	C0603	100n	(1275.197 1686.220)	    0.00	 1	*
[05]	C_CAP	C0603	100n	(1155.118 1686.220)	    0.00	 1	*
[06]	D2	SOD323_ST	BAT60J	( 354.331 1661.417)	  180.00	 1	*
[07]	DIS1	HDSP-M	HD-H101	( 236.220  444.882)	    0.00	 1	*
[08]	DIS2	HDSP-M	HD-H101	( 740.157  448.819)	    0.00	 1	*
[09]	DIS3	HDSP-M	HD-H101	(1240.157  448.819)	    0.00	 1	*
[10]	NCP164C	TSOP-5	-	( 594.882 1540.945)	  270.00	 1	*
[11]	NTC	0204V	1k bei 25C	(1740.945 1307.480)	   90.00	 1	*
[12]	Q1	SOT23-BEC	BCF30SMD	( 236.220  914.961)	  180.00	 1	*
[13]	Q2	SOT23-BEC	BCF30SMD	( 737.402  922.835)	  180.00	 1	*
[14]	Q3	SOT23-BEC	BCF30SMD	(1238.583  918.898)	  180.00	 1	*
[15]	R1	R2010	1k	(1653.150  907.874)	    0.00	 1	*
[16]	R3	R0603	47	(  35.827  909.843)	  270.00	 1	*
[17]	R4	R0603	47	( 437.402  870.866)	  270.00	 1	*
[18]	R5	R0603	47	( 331.102  867.323)	  270.00	 1	*
[19]	R6	R0603	47	( 535.827  914.961)	  270.00	 1	*
[20]	R7	R0603	47	(1039.764  919.291)	  270.00	 1	*
[21]	R8	R0603	47	(1134.252  919.685)	  270.00	 1	*
[22]	R9	R0603	47	( 134.252  908.268)	  270.00	 1	*
[23]	R10	R0603	330	(1331.890 1005.512)	  270.00	 1	*
[24]	R11	R0603	47	( 630.315  917.323)	  270.00	 1	*
[25]	R12	R0603	330	( 847.638 1012.598)	  270.00	 1	*
[26]	R13	R0603	330	( 331.890 1000.000)	  270.00	 1	*
[27]	R14	R0603	100	( 800.000 1186.220)	    0.00	 1	*
[28]	R15	R0603	10k	( 421.654 1473.228)	  270.00	 1	*
[29]	R16	R2010	1k	(1652.362 1053.543)	    0.00	 1	*
[30]	R18	3RP/1610N	1k	(1742.913  451.969)	   90.00	 1	*
[31]	RCLR	R0603	10k	( 709.055 1664.567)	  270.00	 1	*
[32]	SV1	MA05-1	-	(1075.984 1827.559)	  180.00	 1	*
[33]	U$2	SSOP28	-	(1064.961 1420.079)	  315.00	 1	*
[34]	X2	USB-A-S	-	(  86.614 1543.307)	    0.00	 1	*

Number of parts:35
